ranking,"series name",Year,certificate,runtime,genre,rating,DETAILS,ACTOR 1,ACTOR 2,ACTOR 3,ACTOR 4,VOTES
1,Bluey,(2018– ),U,7 min,"Animation, Family",9.7,The slice-of-life adventures of an Australian Blue Heeler Cattle Dog puppy as she has fun with her family and friends in everyday situations.,David McCormack,Melanie Zanetti,Brad Elliott,Dan Brumm,"7,114"
2,Breaking Bad,(2008–2013),15,49 min,"Crime, Drama, Thriller",9.5,A high school chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine in order to secure his family's future.,Bryan Cranston,Aaron Paul,Anna Gunn,Betsy Brandt,"1,756,075"
3,The Chosen,(2017– ),,54 min,"Drama, History",9.4,A charismatic fisherman struggling with debt. A troubled woman wrestling with demons. A gifted accountant ostracised from his family and people. In this ground-breaking first season of The Chosen see how Jesus reaches each of these and more as He works His first miracles and embarks on His ministry to change the world. See Him through the eyes of those who knew Him.,Elizabeth Tabish,Shahar Isaac,Jonathan Roumie,Paras Patel,"26,090"
4,BB Ki Vines,(2015– ),Not Rated,,Comedy,9.4,BB Ki Vines is a Video series. Bhuvan Bam is the person who has started BB Ki Vines and all the characters are played by him.,Bhuvan Bam,Amanda Cerny,,,"8,172"
5,The Heroes,(2008– ),Not Rated,30 min,"Animation, Drama, History",9.4,The moral stories of a group of champions (Pahlevanan) living in Kharazm city in 13th century.,Ali Hemmat Momivand,Bijan Alimohamadi,Shahrooz Malek Arayi,Siamak Atlassi,"164,850"
6,Farouk Omar,-2012,,45 min,"Biography, Drama, History",9.3,"The life of Umar Ibn Al-Khattab, the second Caliph of Rashidun Caliphate, before and after he embraces in Islam.",Samer Ismail,Assad Khalifa,Mehmet Sah Celik,Mehyar Khaddour,"5,865"
7,B.E. Rojgaar,(2022– ),Not Rated,35 min,Drama,9.3,"An aspirational tale of three engineer friends, Akshay, Piyu and Papdya, who go on a journey from being 'be rojgaar' to creating 'rojgaar' by stumbling on a start-up idea and going back to their roots.",Sai Tamhankar,Sambhaji Sasane,Jagdish Kannam,Prakash Patil,"5,384"
8,Aspirants,(2021– ),Not Rated,45 min,Drama,9.3,It is the story of the journey of three UPSC (public service competitive exams in India) aspirants and their friendship against all odds.,Naveen Kasturia,Shivankit Singh Parihar,Abhilash Thapliyal,Sunny Hinduja,"294,082"
9,Scam 1992: The Harshad Mehta Story,-2020,15,54 min,"Biography, Crime, Drama",9.3,"Set in 1980s and '90s Bombay, it follows the life of Harshad Mehta, a stockbroker who took the stock market to dizzying heights and his catastrophic downfall.",Pratik Gandhi,Shreya Dhanwanthary,Hemant Kher,Anjali Barot,"140,103"
10,Avatar: The Last Airbender,(2005–2008),PG,23 min,"Animation, Action, Adventure",9.3,"In a war-torn world of elemental magic, a young boy reawakens to undertake a dangerous mystic quest to fulfill his destiny as the Avatar, and bring peace to the world.",Dee Bradley Baker,Zach Tyler Eisen,Mae Whitman,Jack De Sena,"301,301"
11,The Joy of Painting,(1983–1994),,30 min,"Documentary, Family",9.3,"In this half-hour program, artist Bob Ross paints on canvas a beautiful oil painting.",Bob Ross,Steve Ross,Dana Jester,Peep,"5,368"
12,The Wire,(2002–2008),18,59 min,"Crime, Drama, Thriller",9.3,"The Baltimore drug scene, as seen through the eyes of drug dealers and law enforcement.",Dominic West,Lance Reddick,Sonja Sohn,Wendell Pierce,"328,637"
13,Reply 1988,(2015–2016),13,90 min,"Comedy, Drama, Family",9.2,Follows the lives of 5 families living on the same street in a neighbourhood called Ssangmundong in Seoul. It takes a nostalgic look back at the year 1988.,Hyeri Lee,Go Kyung-Pyo,Ryu Jun-Yeol,Park Bo-gum,"6,818"
14,Critical Role,(2015– ),U,180 min,"Adventure, Fantasy",9.2,"A live weekly show in which a band of professional voice actors improvise, role-play, and roll their way through an epic Dungeons and Dragons campaign.",Matthew Mercer,Sam Riegel,Marisha Ray,Liam O'Brien,"8,768"
15,The Filthy Frank Show,(2011–2017),,12 min,"Short, Comedy",9.2,Filthy Frank and his disease ridden friends talk about various topics and take part in multiple life-threatening shenanigans.,Joji,Artemis Holdenberry,Zeeq,Bloody Hairy,"32,987"
16,Rick and Morty,(2013– ),15,23 min,"Animation, Adventure, Comedy",9.2,An animated series that follows the exploits of a super scientist and his not-so-bright grandson.,Justin Roiland,Chris Parnell,Spencer Grammer,Sarah Chalke,"481,218"
17,Game of Thrones,(2011–2019),18,57 min,"Action, Adventure, Drama",9.2,"Nine noble families fight for control over the lands of Westeros, while an ancient enemy returns after being dormant for millennia.",Emilia Clarke,Peter Dinklage,Kit Harington,Lena Headey,"2,001,477"
18,The Sopranos,(1999–2007),18,55 min,"Crime, Drama",9.2,"New Jersey mob boss Tony Soprano deals with personal and professional issues in his home and business life that affect his mental state, leading him to seek professional psychiatric counseling.",James Gandolfini,Lorraine Bracco,Edie Falco,Michael Imperioli,"377,225"
19,The World at War,(1973–1974),15,52 min,"Documentary, History, War",9.2,"A groundbreaking 26-part documentary series narrated by the actor  about the deadliest conflict in history, World War II.",Laurence Olivier,Albert Speer,Anthony Eden,Averell Harriman,"25,334"
20,Kota Factory,(2019–2021),12,45 min,"Comedy, Drama",9.1,"Dedicated to Shrimati SL Loney ji, Shri Irodov ji and Maanniya HC Verma ji, 'Kota Factory' is TVF's latest original. India's first 'Black and White' show highlights the problems present day IIT-JEE aspirants face in their day-to-day lives.",Mayur More,Jitendra Kumar,Ranjan Raj,Alam Khan,"69,078"
21,My Mister,-2018,16,70 min,"Drama, Family",9.1,"A man in his 40's withstands the weight of life. A woman in her 20's goes through different experiences, but also withstands the weight of her life. The man and woman get together to help each other.",Sun-kyun Lee,Ji-eun Lee,Ji-Ah Lee,Park Ho-San,"5,984"
22,Tash ma Tash,(1992–2011),,25 min,"Comedy, Drama",9.1,Follows two guys and their adventures in Kingdom Of Saudi Arabia.,Nasser Al Qasabi,Abdullah Al-Sadhan,Abdullah Al Sinani,Fahad Olayan,"7,693"
23,Bandon Mein Tha Dum!,(2022– ),UA 7+,48 min,"Documentary, Sport",9.1,"Bandon Mein Tha Dum is a documentary series which follows the Border-Gavaskar Trophy Test series of 2020-21 which resulted in India stunningly defeating Australia at their home turf of Gabba, where they hadn't lost a test match in 32 years",Ajinkya Rahane,Ravichandran Ashwin,Cheteshwar Pujara,Rishabh Pant,"5,849"
24,Leyla ile Mecnun,(2011–2022),,80 min,"Adventure, Comedy, Drama",9.1,"Turkish television comedy series set in Istanbul, Leyla and Mecnun is a surreal and absurd comedy that revolves around the fictional love story between Leyla and Mecnun.",Ali Atay,Serkan Keskin,Ahmet Mümtaz Taylan,Osman Sonant,"93,284"
25,Sherlock,(2010–2017),15,88 min,"Crime, Drama, Mystery",9.1,A modern update finds the famous sleuth and his doctor partner solving crime in 21st-century London.,Benedict Cumberbatch,Martin Freeman,Una Stubbs,Rupert Graves,"898,629"
26,Fullmetal Alchemist: Brotherhood,(2009–2012),15,24 min,"Animation, Action, Adventure",9.1,Two brothers search for a Philosopher's Stone after an attempt to revive their deceased mother goes awry and leaves them in damaged physical forms.,Kent Williams,Iemasa Kayumi,Vic Mignogna,Romi Park,"159,029"
